source_data_id,ann_index,class_id,type,x0,y0,x1,y1
S-210902_A_C_2_R_4745003-20,0,2,polygon,473,933,584,1368
S-210902_A_C_2_R_4745003-20,1,2,polygon,0,1031,365,1200
S-210902_A_C_2_R_4745003-20,2,2,polygon,743,0,1080,1440
S-210902_A_C_2_R_4745003-21,0,2,polygon,0,1021,145,1093
S-210902_A_C_2_R_4745003-21,1,2,polygon,262,915,376,1347
S-210902_A_C_2_R_4745003-21,2,2,polygon,558,0,1067,1440
S-210902_A_C_2_R_4745003-22,0,2,polygon,334,244,448,298
S-210902_A_C_2_R_4745003-22,1,2,polygon,0,921,116,993
S-210902_A_C_2_R_4745003-22,2,2,polygon,278,0,1080,1440
S-210902_A_C_2_R_4745003-23,0,2,polygon,99,972,567,1048
S-210902_A_C_2_R_4745003-23,1,2,polygon,32,0,126,1076
S-210902_A_C_2_R_4745003-23,2,2,polygon,92,205,285,265
S-210902_A_C_2_R_4745003-24,0,2,polygon,910,122,1080,182
S-210902_A_C_2_R_4745003-24,1,2,polygon,833,829,1080,945
S-210902_A_C_2_R_4745003-24,2,2,polygon,0,943,630,1062
S-210902_A_C_2_R_4745003-25,0,2,polygon,594,846,1003,962
S-210902_A_C_2_R_4745003-25,1,2,polygon,656,158,879,213
S-210902_A_C_2_R_4745003-25,2,2,polygon,0,956,388,1107
S-210902_A_C_2_R_4745003-27,0,2,polygon,215,848,627,980
S-210902_A_C_2_R_4745003-27,1,2,polygon,241,153,444,207
S-210902_A_C_2_R_4745003-27,2,2,polygon,779,0,1046,1410
S-210902_A_C_2_R_4745003-28,0,2,polygon,54,853,496,997
S-210902_A_C_2_R_4745003-28,1,2,polygon,74,156,290,211
S-210902_A_C_2_R_4745003-28,2,2,polygon,638,0,901,1440
S-210902_A_C_2_R_4745003-3,0,2,polygon,0,48,509,938
S-210902_A_C_2_R_4745003-3,1,2,polygon,731,499,946,698
S-210902_A_C_2_R_4745003-3,2,2,polygon,940,382,1080,462
S-210902_A_C_2_R_4745003-4,0,2,polygon,24,1155,58,1440
S-210902_A_C_2_R_4745003-4,1,2,polygon,28,36,623,1133
S-210902_A_C_2_R_4745003-4,2,2,polygon,845,471,1060,672
S-210902_A_C_2_R_4745003-5,0,2,polygon,146,0,740,1120
S-210902_A_C_2_R_4745003-5,1,2,polygon,14,0,103,689
S-210902_A_C_2_R_4745003-5,2,2,polygon,134,1092,170,1440
S-210902_A_C_2_R_4745003-7,0,2,polygon,422,1081,453,1440
S-210902_A_C_2_R_4745003-7,1,2,polygon,427,3,972,1115
S-210902_A_C_2_R_4745003-7,2,2,polygon,553,433,583,594
S-210902_A_C_2_R_4745003-9,0,2,polygon,913,663,1080,1058
S-210902_A_C_2_R_4745003-9,1,2,polygon,911,1033,941,1440
S-210902_A_C_2_R_4745003-9,2,2,polygon,145,887,363,936
S-211111_A_C_2_R_9636012-1,0,2,polygon,846,419,1080,454
S-211111_A_C_2_R_9636012-1,1,2,polygon,1023,140,1080,148
S-211111_A_C_2_R_9636012-1,2,2,polygon,1039,157,1080,169
S-211111_A_C_2_R_9636012-10,0,2,polygon,505,175,555,181
S-211111_A_C_2_R_9636012-10,1,2,polygon,727,151,790,162
S-211111_A_C_2_R_9636012-10,2,2,polygon,306,370,330,383
S-211111_A_C_2_R_9636012-11,0,2,polygon,779,635,803,755
S-211111_A_C_2_R_9636012-11,1,2,polygon,154,490,232,554
S-211111_A_C_2_R_9636012-11,2,2,polygon,303,359,338,369
S-211111_A_C_2_R_9636012-12,0,2,polygon,0,504,68,555
S-211111_A_C_2_R_9636012-12,1,2,polygon,168,418,196,431
S-211111_A_C_2_R_9636012-12,2,2,polygon,140,367,168,373
S-211111_A_C_2_R_9636012-13,0,2,polygon,76,512,131,651
S-211111_A_C_2_R_9636012-13,1,2,polygon,346,459,421,472
S-211111_A_C_2_R_9636012-13,2,2,polygon,561,607,576,725
S-211111_A_C_2_R_9636012-14,0,2,polygon,515,596,528,711
S-211111_A_C_2_R_9636012-14,1,2,polygon,19,515,110,743
S-211111_A_C_2_R_9636012-14,2,2,polygon,292,453,368,466
S-211111_A_C_2_R_9636012-15,0,2,polygon,419,598,428,713
S-211111_A_C_2_R_9636012-15,1,2,polygon,1,756,37,818
S-211111_A_C_2_R_9636012-15,2,2,polygon,1017,404,1080,425
S-211111_A_C_2_R_9636012-16,0,2,polygon,896,343,1080,357
S-211111_A_C_2_R_9636012-16,1,2,polygon,967,33,1063,47
S-211111_A_C_2_R_9636012-16,2,2,polygon,122,403,186,416
S-211111_A_C_2_R_9636012-17,0,2,polygon,776,350,1080,363
S-211111_A_C_2_R_9636012-17,1,2,polygon,921,36,1080,46
S-211111_A_C_2_R_9636012-17,2,2,polygon,213,567,225,659
S-211111_A_C_2_R_9636012-19,0,2,polygon,654,382,1080,404
S-211111_A_C_2_R_9636012-19,1,2,polygon,93,606,111,731
S-211111_A_C_2_R_9636012-19,2,2,polygon,640,521,1080,536
S-211111_A_C_2_R_9636012-2,0,2,polygon,960,459,1080,471
S-211111_A_C_2_R_9636012-2,1,2,polygon,934,593,1079,609
S-211111_A_C_2_R_9636012-2,2,2,polygon,399,655,410,767
S-211111_A_C_2_R_9636012-20,0,2,polygon,50,734,67,857
S-211111_A_C_2_R_9636012-20,1,2,polygon,588,627,1080,645
S-211111_A_C_2_R_9636012-20,2,2,polygon,603,507,1022,529
S-211111_A_C_2_R_9636012-21,0,2,polygon,624,578,1064,592
S-211111_A_C_2_R_9636012-21,1,2,polygon,646,698,1080,713
S-211111_A_C_2_R_9636012-21,2,2,polygon,627,334,724,349
S-211111_A_C_2_R_9636012-22,0,2,polygon,788,329,883,345
S-211111_A_C_2_R_9636012-22,1,2,polygon,780,579,1080,594
S-211111_A_C_2_R_9636012-22,2,2,polygon,798,703,1080,718
S-211111_A_C_2_R_9636012-23,0,2,polygon,928,734,1080,752
S-211111_A_C_2_R_9636012-23,1,2,polygon,908,608,1080,621
S-211111_A_C_2_R_9636012-23,2,2,polygon,922,350,1021,368
S-211111_A_C_2_R_9636012-24,0,2,polygon,4,792,68,962
S-211111_A_C_2_R_9636012-24,1,2,polygon,483,812,492,921
S-211111_A_C_2_R_9636012-24,2,2,polygon,262,686,337,703
S-211111_A_C_2_R_9636012-25,0,2,polygon,599,788,613,876
S-211111_A_C_2_R_9636012-25,1,2,polygon,402,652,460,671
S-211111_A_C_2_R_9636012-25,2,2,polygon,339,344,385,354
S-211111_A_C_2_R_9636012-26,0,2,polygon,654,691,669,805
S-211111_A_C_2_R_9636012-26,1,2,polygon,199,583,299,875
S-211111_A_C_2_R_9636012-26,2,2,polygon,0,610,55,653
S-211111_A_C_2_R_9636012-28,0,2,polygon,564,644,579,733
S-211111_A_C_2_R_9636012-28,1,2,polygon,276,173,346,184
S-211111_A_C_2_R_9636012-28,2,2,polygon,352,503,420,519
S-211111_A_C_2_R_9636012-29,0,2,polygon,936,419,1080,456
S-211111_A_C_2_R_9636012-29,1,2,polygon,394,646,405,756
S-211111_A_C_2_R_9636012-29,2,2,polygon,164,516,228,537
S-211111_A_C_2_R_9636012-3,0,2,polygon,476,665,486,766
S-211111_A_C_2_R_9636012-3,1,2,polygon,184,207,240,217
S-211111_A_C_2_R_9636012-3,2,2,polygon,1009,439,1080,479
S-211111_A_C_2_R_9636012-30,0,2,polygon,803,425,1080,439
S-211111_A_C_2_R_9636012-30,1,2,polygon,813,565,1080,578
S-211111_A_C_2_R_9636012-30,2,2,polygon,2,514,82,529
S-211111_A_C_2_R_9636012-5,0,2,polygon,658,647,673,756
S-211111_A_C_2_R_9636012-5,1,2,polygon,221,584,302,818
S-211111_A_C_2_R_9636012-5,2,2,polygon,404,194,464,204
S-211111_A_C_2_R_9636012-6,0,2,polygon,729,642,745,754
S-211111_A_C_2_R_9636012-6,1,2,polygon,293,558,369,803
S-211111_A_C_2_R_9636012-6,2,2,polygon,0,546,174,675
S-211111_A_C_2_R_9636012-7,0,2,polygon,787,651,806,768
S-211111_A_C_2_R_9636012-7,1,2,polygon,356,557,423,804
S-211111_A_C_2_R_9636012-7,2,2,polygon,31,599,163,700
S-211111_A_C_2_R_9636012-8,0,2,polygon,850,622,877,736
S-211111_A_C_2_R_9636012-8,1,2,polygon,393,438,465,762
S-211111_A_C_2_R_9636012-8,2,2,polygon,207,488,290,551
S-211111_A_C_2_R_9636012-9,0,2,polygon,502,531,547,761
S-211111_A_C_2_R_9636012-9,1,2,polygon,162,494,358,620
S-211111_A_C_2_R_9636012-9,2,2,polygon,414,350,452,360
S-211113_A_C_2_R_5166022-2,0,2,polygon,981,200,1080,1238
S-211113_A_C_2_R_5166022-2,1,2,polygon,664,213,770,252
S-211113_A_C_2_R_5166022-2,2,2,polygon,989,0,1002,70
S-211113_A_C_2_R_5166022-21,0,2,polygon,564,204,831,227
S-211113_A_C_2_R_5166022-21,1,2,polygon,830,493,892,789
S-211113_A_C_2_R_5166022-21,2,2,polygon,321,222,518,261
S-211113_A_C_2_R_5166022-22,0,2,polygon,594,444,647,720
S-211113_A_C_2_R_5166022-22,1,2,polygon,351,167,588,182
S-211113_A_C_2_R_5166022-22,2,2,polygon,95,177,289,204
S-211113_A_C_2_R_5166022-23,0,2,polygon,991,186,1080,1183
S-211113_A_C_2_R_5166022-23,1,2,polygon,13,149,239,181
S-211113_A_C_2_R_5166022-23,2,2,polygon,670,207,781,245
S-211113_A_C_2_R_5166022-24,0,2,polygon,1032,98,1080,720
S-211113_A_C_2_R_5166022-24,1,2,polygon,541,267,600,548
S-211113_A_C_2_R_5166022-24,2,2,polygon,1067,751,1080,840
S-211113_A_C_2_R_5166022-25,0,2,polygon,584,443,620,828
S-211113_A_C_2_R_5166022-25,1,2,polygon,541,19,612,293
S-211113_A_C_2_R_5166022-25,2,2,polygon,580,1025,628,1115
S-211113_A_C_2_R_5166022-26,0,2,polygon,536,473,566,619
S-211113_A_C_2_R_5166022-26,1,2,polygon,543,366,560,473
S-211113_A_C_2_R_5166022-26,2,2,polygon,532,802,573,874
S-211113_A_C_2_R_5166022-27,0,2,polygon,3,997,93,1238
S-211113_A_C_2_R_5166022-27,1,2,polygon,648,248,819,257
S-211113_A_C_2_R_5166022-27,2,2,polygon,531,488,578,564
S-211113_A_C_2_R_5166022-28,0,2,polygon,141,821,242,1093
S-211113_A_C_2_R_5166022-28,1,2,polygon,803,160,966,324
S-211113_A_C_2_R_5166022-28,2,2,polygon,683,280,730,363
S-211113_A_C_2_R_5166022-29,0,2,polygon,281,1053,377,1390
S-211113_A_C_2_R_5166022-29,1,2,polygon,0,1233,36,1380
S-211113_A_C_2_R_5166022-29,2,2,polygon,155,1284,183,1375
S-211113_A_C_2_R_5166022-4,0,2,polygon,178,332,532,390
S-211113_A_C_2_R_5166022-4,1,2,polygon,606,295,768,334
S-211113_A_C_2_R_5166022-4,2,2,polygon,826,369,944,405
S-211113_A_C_2_R_5166022-5,0,2,polygon,355,182,856,265
S-211113_A_C_2_R_5166022-5,1,2,polygon,881,526,932,724
S-211113_A_C_2_R_5166022-5,2,2,polygon,1033,226,1079,244
S-211113_A_C_2_R_5166022-6,0,2,polygon,452,41,672,95
S-211113_A_C_2_R_5166022-6,1,2,polygon,733,0,1001,37
S-211113_A_C_2_R_5166022-6,2,2,polygon,985,32,1080,102
S-211113_A_C_2_R_5166022-7,0,2,polygon,951,151,995,172
S-211113_A_C_2_R_5166022-7,1,2,polygon,955,697,975,826
S-211113_A_C_2_R_5166022-7,2,2,polygon,912,105,959,360
S-211113_A_C_2_R_5166022-8,0,2,polygon,702,59,731,198
S-211113_A_C_2_R_5166022-8,1,2,polygon,753,590,782,720
S-211113_A_C_2_R_5166022-8,2,2,polygon,708,0,737,56
S-211113_A_C_2_R_5166022-9,0,2,polygon,1035,0,1060,282
S-211113_A_C_2_R_5166022-9,1,2,polygon,1024,515,1080,636
S-211113_A_C_2_R_5166022-9,2,2,polygon,1022,293,1048,510
S-211113_A_C_2_R_5166023-1,0,2,polygon,671,810,703,973
S-211113_A_C_2_R_5166023-1,1,2,polygon,255,942,334,989
S-211113_A_C_2_R_5166023-1,2,2,polygon,195,1323,271,1430
S-211113_A_C_2_R_5166023-10,0,2,polygon,0,246,48,310
S-211113_A_C_2_R_5166023-10,1,2,polygon,248,406,285,610
S-211113_A_C_2_R_5166023-10,2,2,polygon,105,476,131,547
S-211113_A_C_2_R_5166023-12,0,2,polygon,80,101,116,329
S-211113_A_C_2_R_5166023-12,1,2,polygon,54,404,80,507
S-211113_A_C_2_R_5166023-12,2,2,polygon,72,359,82,400
S-211113_A_C_2_R_5166023-13,0,2,polygon,264,742,286,1026
S-211113_A_C_2_R_5166023-13,1,2,polygon,331,1177,350,1258
S-211113_A_C_2_R_5166023-13,2,2,polygon,645,807,657,996
S-211113_A_C_2_R_5166023-14,0,2,polygon,232,624,250,911
S-211113_A_C_2_R_5166023-14,1,2,polygon,613,696,626,868
S-211113_A_C_2_R_5166023-14,2,2,polygon,500,377,523,419
S-211113_A_C_2_R_5166023-15,0,2,polygon,273,448,290,717
S-211113_A_C_2_R_5166023-15,1,2,polygon,664,530,677,702
S-211113_A_C_2_R_5166023-15,2,2,polygon,542,187,565,229
S-211113_A_C_2_R_5166023-16,0,2,polygon,372,317,396,617
S-211113_A_C_2_R_5166023-16,1,2,polygon,0,615,65,747
S-211113_A_C_2_R_5166023-16,2,2,polygon,202,426,271,458
S-211113_A_C_2_R_5166023-17,0,2,polygon,109,471,287,858
S-211113_A_C_2_R_5166023-17,1,2,polygon,964,331,982,557
S-211113_A_C_2_R_5166023-17,2,2,polygon,530,339,553,559
S-211113_A_C_2_R_5166023-18,0,2,polygon,322,471,482,842
S-211113_A_C_2_R_5166023-18,1,2,polygon,726,251,751,544
S-211113_A_C_2_R_5166023-18,2,2,polygon,560,356,681,387
S-211113_A_C_2_R_5166023-19,0,2,polygon,470,380,637,765
S-211113_A_C_2_R_5166023-19,1,2,polygon,724,258,846,289
S-211113_A_C_2_R_5166023-19,2,2,polygon,113,533,138,703
S-211113_A_C_2_R_5166023-2,0,2,polygon,642,792,676,1074
S-211113_A_C_2_R_5166023-2,1,2,polygon,164,1070,285,1142
S-211113_A_C_2_R_5166023-2,2,2,polygon,587,1122,630,1226
S-211113_A_C_2_R_5166023-21,0,2,polygon,936,321,1080,625
S-211113_A_C_2_R_5166023-21,1,2,polygon,505,448,536,674
S-211113_A_C_2_R_5166023-21,2,2,polygon,887,638,939,717
S-211113_A_C_2_R_5166023-22,0,2,polygon,617,485,654,714
S-211113_A_C_2_R_5166023-22,1,2,polygon,1016,691,1080,796
S-211113_A_C_2_R_5166023-22,2,2,polygon,894,705,947,930
S-211113_A_C_2_R_5166023-23,0,2,polygon,738,547,779,782
S-211113_A_C_2_R_5166023-23,1,2,polygon,123,1123,329,1236
S-211113_A_C_2_R_5166023-23,2,2,polygon,229,756,384,806
S-211113_A_C_2_R_5166023-24,0,2,polygon,867,545,921,786
S-211113_A_C_2_R_5166023-24,1,2,polygon,244,1096,442,1202
S-211113_A_C_2_R_5166023-24,2,2,polygon,358,740,510,790
S-211113_A_C_2_R_5166023-25,0,2,polygon,843,539,895,881
S-211113_A_C_2_R_5166023-25,1,2,polygon,216,1193,418,1308
S-211113_A_C_2_R_5166023-25,2,2,polygon,349,827,486,884
S-211113_A_C_2_R_5166023-26,0,2,polygon,795,831,842,1113
S-211113_A_C_2_R_5166023-26,1,2,polygon,267,1037,450,1112
S-211113_A_C_2_R_5166023-26,2,2,polygon,989,783,1052,841
S-211113_A_C_2_R_5166023-27,0,2,polygon,634,958,682,1241
S-211113_A_C_2_R_5166023-27,1,2,polygon,107,1171,280,1262
S-211113_A_C_2_R_5166023-27,2,2,polygon,816,906,879,966
S-211113_A_C_2_R_5166023-28,0,2,polygon,836,1000,1030,1422
S-211113_A_C_2_R_5166023-28,1,2,polygon,427,1038,481,1313
S-211113_A_C_2_R_5166023-28,2,2,polygon,0,1253,53,1292
S-211113_A_C_2_R_5166023-29,0,2,polygon,222,952,305,1310
S-211113_A_C_2_R_5166023-29,1,2,polygon,609,992,815,1426
S-211113_A_C_2_R_5166023-29,2,2,polygon,522,1310,556,1399
S-211113_A_C_2_R_5166023-4,0,2,polygon,738,986,909,1392
S-211113_A_C_2_R_5166023-4,1,2,polygon,384,965,439,1289
S-211113_A_C_2_R_5166023-4,2,2,polygon,982,880,1080,911
S-211113_A_C_2_R_5166023-5,0,2,polygon,643,1082,757,1343
S-211113_A_C_2_R_5166023-5,1,2,polygon,217,1164,276,1414
S-211113_A_C_2_R_5166023-5,2,2,polygon,826,977,969,1027
S-211113_A_C_2_R_5166023-6,0,2,polygon,227,135,367,445
S-211113_A_C_2_R_5166023-6,1,2,polygon,437,335,462,408
S-211113_A_C_2_R_5166023-6,2,2,polygon,569,235,603,441
S-211113_A_C_2_R_5166023-7,0,2,polygon,219,252,344,552
S-211113_A_C_2_R_5166023-7,1,2,polygon,559,354,589,547
S-211113_A_C_2_R_5166023-7,2,2,polygon,851,218,870,315
S-211113_A_C_2_R_5166023-8,0,2,polygon,170,362,299,641
S-211113_A_C_2_R_5166023-8,1,2,polygon,508,493,530,661
S-211113_A_C_2_R_5166023-8,2,2,polygon,444,141,458,184
S-211113_A_C_2_R_5166023-9,0,2,polygon,0,362,152,648
S-211113_A_C_2_R_5166023-9,1,2,polygon,349,500,382,722
S-211113_A_C_2_R_5166023-9,2,2,polygon,609,606,656,688
S-211113_A_C_2_R_5166035-1,0,2,polygon,739,651,802,689
S-211113_A_C_2_R_5166035-1,1,2,polygon,217,829,234,884
S-211113_A_C_2_R_5166035-1,2,2,polygon,903,418,944,483
S-211113_A_C_2_R_5166035-10,0,2,polygon,0,480,540,946
S-211113_A_C_2_R_5166035-10,1,2,polygon,285,988,293,1067
S-211113_A_C_2_R_5166035-10,2,2,polygon,499,960,591,993
S-211113_A_C_2_R_5166035-12,0,2,polygon,0,583,373,1053
S-211113_A_C_2_R_5166035-12,1,2,polygon,109,1113,114,1183
S-211113_A_C_2_R_5166035-12,2,2,polygon,597,728,656,808
S-211113_A_C_2_R_5166035-13,0,2,polygon,0,387,475,859
S-211113_A_C_2_R_5166035-13,1,2,polygon,199,987,204,1047
S-211113_A_C_2_R_5166035-13,2,2,polygon,688,631,730,683
S-211113_A_C_2_R_5166035-14,0,2,polygon,0,266,530,744
S-211113_A_C_2_R_5166035-14,1,2,polygon,259,916,265,980
S-211113_A_C_2_R_5166035-14,2,2,polygon,466,868,557,907
S-211113_A_C_2_R_5166035-15,0,2,polygon,0,254,680,720
S-211113_A_C_2_R_5166035-15,1,2,polygon,372,911,377,974
S-211113_A_C_2_R_5166035-15,2,2,polygon,579,869,674,904
S-211113_A_C_2_R_5166035-16,0,2,polygon,118,243,767,722
S-211113_A_C_2_R_5166035-16,1,2,polygon,425,930,431,992
S-211113_A_C_2_R_5166035-16,2,2,polygon,617,886,720,933
S-211113_A_C_2_R_5166035-17,0,2,polygon,46,278,679,712
S-211113_A_C_2_R_5166035-17,1,2,polygon,360,951,366,1003
S-211113_A_C_2_R_5166035-17,2,2,polygon,566,907,648,942
S-211113_A_C_2_R_5166035-18,0,2,polygon,97,388,719,805
S-211113_A_C_2_R_5166035-18,1,2,polygon,377,1030,382,1081
S-211113_A_C_2_R_5166035-18,2,2,polygon,581,984,667,1021
S-211113_A_C_2_R_5166035-19,0,2,polygon,365,363,956,797
S-211113_A_C_2_R_5166035-19,1,2,polygon,573,999,577,1053
S-211113_A_C_2_R_5166035-19,2,2,polygon,774,952,861,986
S-211113_A_C_2_R_5166035-2,0,2,polygon,997,732,1080,803
S-211113_A_C_2_R_5166035-2,1,2,polygon,1031,503,1076,637
S-211113_A_C_2_R_5166035-2,2,2,polygon,831,443,865,487
S-211113_A_C_2_R_5166035-21,0,2,polygon,861,812,1075,971
S-211113_A_C_2_R_5166035-21,1,2,polygon,509,324,586,410
S-211113_A_C_2_R_5166035-21,2,2,polygon,817,339,1080,689
S-211113_A_C_2_R_5166035-22,0,2,polygon,796,730,893,783
S-211113_A_C_2_R_5166035-22,1,2,polygon,554,412,618,471
S-211113_A_C_2_R_5166035-22,2,2,polygon,154,695,258,825
S-211113_A_C_2_R_5166035-23,0,2,polygon,223,1044,243,1165
S-211113_A_C_2_R_5166035-23,1,2,polygon,458,605,580,920
S-211113_A_C_2_R_5166035-23,2,2,polygon,597,1098,613,1204
S-211113_A_C_2_R_5166035-24,0,2,polygon,856,823,976,1081
S-211113_A_C_2_R_5166035-24,1,2,polygon,871,317,993,342
S-211113_A_C_2_R_5166035-24,2,2,polygon,900,366,1000,685
S-211113_A_C_2_R_5166035-25,0,2,polygon,671,1314,679,1367
S-211113_A_C_2_R_5166035-25,1,2,polygon,669,559,675,608
S-211113_A_C_2_R_5166035-25,2,2,polygon,372,38,458,72
S-211113_A_C_2_R_5166035-26,0,2,polygon,190,153,266,203
S-211113_A_C_2_R_5166035-26,1,2,polygon,555,0,633,35
S-211113_A_C_2_R_5166035-26,2,2,polygon,366,86,454,134
S-211113_A_C_2_R_5166035-27,0,2,polygon,0,306,63,319
S-211113_A_C_2_R_5166035-27,1,2,polygon,327,98,385,146
S-211113_A_C_2_R_5166035-27,2,2,polygon,241,133,376,222
S-211113_A_C_2_R_5166035-28,0,2,polygon,59,209,155,229
S-211113_A_C_2_R_5166035-28,1,2,polygon,0,264,62,292
S-211113_A_C_2_R_5166035-28,2,2,polygon,432,0,509,56
S-211113_A_C_2_R_5166035-29,0,2,polygon,94,276,194,310
S-211113_A_C_2_R_5166035-29,1,2,polygon,192,219,286,236
S-211113_A_C_2_R_5166035-29,2,2,polygon,0,716,23,817
S-211113_A_C_2_R_5166035-4,0,2,polygon,691,556,1075,885
S-211113_A_C_2_R_5166035-4,1,2,polygon,240,690,315,732
S-211113_A_C_2_R_5166035-4,2,2,polygon,451,393,522,480
S-211113_A_C_2_R_5166035-7,0,2,polygon,164,290,866,880
S-211113_A_C_2_R_5166035-7,1,2,polygon,242,266,369,528
S-211113_A_C_2_R_5166035-7,2,2,polygon,519,909,525,962
S-211113_A_C_2_R_5166035-8,0,2,polygon,35,353,757,857
S-211113_A_C_2_R_5166035-8,1,2,polygon,454,905,460,969
S-211113_A_C_2_R_5166035-8,2,2,polygon,652,872,754,900
S-211113_A_C_2_R_5166037-1,0,2,polygon,337,674,349,712
S-211113_A_C_2_R_5166037-1,1,2,polygon,145,671,204,703
S-211113_A_C_2_R_5166037-1,2,2,polygon,414,671,436,854
S-211113_A_C_2_R_5166037-10,0,2,polygon,198,888,217,955
S-211113_A_C_2_R_5166037-10,1,2,polygon,261,742,302,766
S-211113_A_C_2_R_5166037-10,2,2,polygon,131,735,162,933
S-211113_A_C_2_R_5166037-11,0,2,polygon,142,396,150,417
S-211113_A_C_2_R_5166037-11,1,2,polygon,200,410,248,425
S-211113_A_C_2_R_5166037-11,2,2,polygon,63,618,91,816
S-211113_A_C_2_R_5166037-12,0,2,polygon,56,766,79,825
S-211113_A_C_2_R_5166037-12,1,2,polygon,110,608,130,632
S-211113_A_C_2_R_5166037-12,2,2,polygon,112,390,162,405
S-211113_A_C_2_R_5166037-13,0,2,polygon,270,694,279,795
S-211113_A_C_2_R_5166037-13,1,2,polygon,61,497,114,511
S-211113_A_C_2_R_5166037-13,2,2,polygon,3,482,12,504
S-211113_A_C_2_R_5166037-16,0,2,polygon,20,909,35,951
S-211113_A_C_2_R_5166037-16,1,2,polygon,97,911,131,1115
S-211113_A_C_2_R_5166037-16,2,2,polygon,165,1069,183,1138
S-211113_A_C_2_R_5166037-17,0,2,polygon,369,724,413,737
S-211113_A_C_2_R_5166037-17,1,2,polygon,225,916,259,1113
S-211113_A_C_2_R_5166037-17,2,2,polygon,350,922,389,945
S-211113_A_C_2_R_5166037-18,0,2,polygon,221,823,251,1014
S-211113_A_C_2_R_5166037-18,1,2,polygon,144,823,157,862
S-211113_A_C_2_R_5166037-18,2,2,polygon,360,631,404,644
S-211113_A_C_2_R_5166037-19,0,2,polygon,206,704,233,894
S-211113_A_C_2_R_5166037-19,1,2,polygon,126,706,138,748
S-211113_A_C_2_R_5166037-19,2,2,polygon,333,507,377,520
S-211113_A_C_2_R_5166037-2,0,2,polygon,293,729,319,857
S-211113_A_C_2_R_5166037-2,1,2,polygon,357,873,376,938
S-211113_A_C_2_R_5166037-2,2,2,polygon,409,733,449,754
S-211113_A_C_2_R_5166037-20,0,2,polygon,292,621,314,807
S-211113_A_C_2_R_5166037-20,1,2,polygon,210,623,220,665
S-211113_A_C_2_R_5166037-20,2,2,polygon,406,415,451,430
S-211113_A_C_2_R_5166037-21,0,2,polygon,3,410,164,426
S-211113_A_C_2_R_5166037-21,1,2,polygon,497,402,542,417
S-211113_A_C_2_R_5166037-21,2,2,polygon,383,609,404,793
S-211113_A_C_2_R_5166037-22,0,2,polygon,341,592,364,776
S-211113_A_C_2_R_5166037-22,1,2,polygon,0,389,112,403
S-211113_A_C_2_R_5166037-22,2,2,polygon,453,383,498,399
S-211113_A_C_2_R_5166037-23,0,2,polygon,202,611,226,801
S-211113_A_C_2_R_5166037-23,1,2,polygon,115,613,127,649
S-211113_A_C_2_R_5166037-23,2,2,polygon,320,404,370,418
S-211113_A_C_2_R_5166037-25,0,2,polygon,295,625,305,725
S-211113_A_C_2_R_5166037-25,1,2,polygon,19,791,42,860
S-211113_A_C_2_R_5166037-25,2,2,polygon,82,422,133,435
S-211113_A_C_2_R_5166037-26,0,2,polygon,220,242,259,274
